experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,pop_ts_diversity,bt_sites_lower,bt_sites_within,bt_sites_above,jk_delete_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_one_ind_lower,jk_one_ind_within,jk_one_ind_above,jk_mj_ind_lower,jk_mj_ind_within,jk_mj_ind_above
0,50,1000,100,1000000000,1.00E-08,1.00E-08,0.119614237,4,92,4,4,92,4,3,95,2,14,72,14,17,69,14,21,66,13
0,50,2000,100,1000000000,1.00E-08,1.00E-08,0.119614237,1,94,5,1,94,5,0,98,2,12,74,14,13,69,18,14,68,18
0,50,3000,100,1000000000,1.00E-08,1.00E-08,0.119614237,2,97,1,3,96,1,0,100,0,16,77,7,21,65,14,19,68,13
0,50,4000,100,1000000000,1.00E-08,1.00E-08,0.119614237,3,95,2,3,95,2,0,100,0,6,89,5,8,85,7,9,78,13
0,50,5000,100,1000000000,1.00E-08,1.00E-08,0.119614237,3,96,1,3,96,1,0,100,0,5,94,1,12,82,6,11,81,8
0,100,1000,100,1000000000,1.00E-08,1.00E-08,0.119614237,1,94,5,1,94,5,0,99,1,25,46,29,25,45,30,24,45,31
0,100,2000,100,1000000000,1.00E-08,1.00E-08,0.119614237,3,92,5,2,93,5,0,99,1,17,62,21,17,59,24,20,57,23
0,100,3000,100,1000000000,1.00E-08,1.00E-08,0.119614237,6,89,5,5,90,5,0,100,0,19,62,19,19,60,21,20,58,22
0,100,4000,100,1000000000,1.00E-08,1.00E-08,0.119614237,2,95,3,2,95,3,0,100,0,16,67,17,17,62,21,18,62,20
0,100,5000,100,1000000000,1.00E-08,1.00E-08,0.119614237,2,95,3,2,95,3,0,100,0,7,72,21,11,68,21,10,68,22
0,150,1000,100,1000000000,1.00E-08,1.00E-08,0.119614237,4,95,1,4,95,1,3,97,0,26,49,25,26,49,25,26,49,25
0,150,2000,100,1000000000,1.00E-08,1.00E-08,0.119614237,4,93,3,2,95,3,1,98,1,26,45,29,26,45,29,25,46,29
0,150,3000,100,1000000000,1.00E-08,1.00E-08,0.119614237,1,96,3,1,96,3,0,100,0,18,56,26,19,55,26,20,55,25
0,150,4000,100,1000000000,1.00E-08,1.00E-08,0.119614237,2,97,1,2,97,1,0,100,0,24,61,15,25,60,15,27,59,14
0,150,5000,100,1000000000,1.00E-08,1.00E-08,0.119614237,0,100,0,0,100,0,0,100,0,16,63,21,16,62,22,17,64,19
1,50,1000,100,1000000000,1.00E-08,1.00E-08,0.119438287,3,94,3,4,93,3,2,95,3,22,61,17,24,55,21,22,58,20
1,50,2000,100,1000000000,1.00E-08,1.00E-08,0.119438287,3,94,3,3,94,3,0,100,0,14,72,14,15,66,19,15,69,16
1,50,3000,100,1000000000,1.00E-08,1.00E-08,0.119438287,4,92,4,4,93,3,0,100,0,10,79,11,11,73,16,12,72,16
1,50,4000,100,1000000000,1.00E-08,1.00E-08,0.119438287,4,92,4,4,93,3,0,100,0,6,86,8,8,80,12,10,78,12
1,50,5000,100,1000000000,1.00E-08,1.00E-08,0.119438287,4,93,3,4,94,2,0,99,1,7,87,6,11,78,11,7,81,12
1,100,1000,100,1000000000,1.00E-08,1.00E-08,0.119438287,4,90,6,4,91,5,1,95,4,29,48,23,31,45,24,27,50,23
1,100,2000,100,1000000000,1.00E-08,1.00E-08,0.119438287,3,95,2,3,95,2,0,100,0,22,51,27,22,51,27,22,52,26
1,100,3000,100,1000000000,1.00E-08,1.00E-08,0.119438287,3,94,3,3,94,3,0,100,0,19,64,17,19,62,19,19,61,20
1,100,4000,100,1000000000,1.00E-08,1.00E-08,0.119438287,0,97,3,0,98,2,0,100,0,12,69,19,13,67,20,12,66,22
1,100,5000,100,1000000000,1.00E-08,1.00E-08,0.119438287,4,96,0,5,95,0,0,100,0,13,72,15,17,63,20,15,68,17
1,150,1000,100,1000000000,1.00E-08,1.00E-08,0.119438287,2,97,1,3,96,1,1,98,1,28,34,38,28,34,38,26,37,37
1,150,2000,100,1000000000,1.00E-08,1.00E-08,0.119438287,0,98,2,0,98,2,0,99,1,28,41,31,28,43,29,28,41,31
1,150,3000,100,1000000000,1.00E-08,1.00E-08,0.119438287,1,97,2,1,96,3,1,99,0,24,54,22,24,53,23,23,54,23
1,150,4000,100,1000000000,1.00E-08,1.00E-08,0.119438287,2,96,2,2,96,2,0,100,0,22,56,22,22,56,22,22,55,23
1,150,5000,100,1000000000,1.00E-08,1.00E-08,0.119438287,1,96,3,1,96,3,1,99,0,15,66,19,17,63,20,17,63,20